Unit_No,SN,CP0,CP1,CP2,CP3,CP4,CP5,CP6,CP7
9,FVFHSA000780001JYP,incoming,OPHS 65/90 72hrs,OPHS 65/90 168hrs,OPHS 65/90 336hrs,OPHS 65/90 504hrs,OPHS 65/90 720hrs,OPHS 65/90 1008hrs,5N manual pull test
10,FVFHSA000750001JYP,incoming,OPHS 65/90 72hrs,OPHS 65/90 168hrs,OPHS 65/90 336hrs,OPHS 65/90 504hrs,OPHS 65/90 720hrs,OPHS 65/90 1008hrs,5N manual pull test
11,FVFHSA0006Q0001JYP,incoming,OPHS 65/90 72hrs,OPHS 65/90 168hrs,OPHS 65/90 336hrs,OPHS 65/90 504hrs,OPHS 65/90 720hrs,OPHS 65/90 1008hrs,5N manual pull test
12,FVFHSA0006Y0001JYP,incoming,OPHS 65/90 72hrs,OPHS 65/90 168hrs,OPHS 65/90 336hrs,OPHS 65/90 504hrs,OPHS 65/90 720hrs,OPHS 65/90 1008hrs,5N manual pull test
13,FVFHSA0007B0001JYP,incoming,OPHS 65/90 72hrs,OPHS 65/90 168hrs,OPHS 65/90 336hrs,OPHS 65/90 504hrs,OPHS 65/90 720hrs,OPHS 65/90 1008hrs,5N manual pull test
22,FVFHSA000870001JYP,incoming,OPHS 65/90 72hrs,OPHS 65/90 168hrs,OPHS 65/90 336hrs,OPHS 65/90 504hrs,OPHS 65/90 720hrs,OPHS 65/90 1008hrs,5N manual pull test
23,FVFHSA000830001JYP,incoming,OPHS 65/90 72hrs,OPHS 65/90 168hrs,OPHS 65/90 336hrs,OPHS 65/90 504hrs,OPHS 65/90 720hrs,OPHS 65/90 1008hrs,5N manual pull test
24,FVFHSA0007J0001JYP,incoming,OPHS 65/90 72hrs,OPHS 65/90 168hrs,OPHS 65/90 336hrs,OPHS 65/90 504hrs,OPHS 65/90 720hrs,OPHS 65/90 1008hrs,5N manual pull test
25,FVFHSA0007H0001JYP,incoming,OPHS 65/90 72hrs,OPHS 65/90 168hrs,OPHS 65/90 336hrs,OPHS 65/90 504hrs,OPHS 65/90 720hrs,OPHS 65/90 1008hrs,5N manual pull test
26,FVFHSA0007Y0001JYP,incoming,OPHS 65/90 72hrs,OPHS 65/90 168hrs,OPHS 65/90 336hrs,OPHS 65/90 504hrs,OPHS 65/90 720hrs,OPHS 65/90 1008hrs,5N manual pull test
27,FVFHSF0000K0001JYP,incoming,OPHS 65/90 72hrs,OPHS 65/90 168hrs,OPHS 65/90 336hrs,OPHS 65/90 504hrs,OPHS 65/90 720hrs,OPHS 65/90 1008hrs,5N manual pull test
28,FVFHSF0000M0001JYP,incoming,OPHS 65/90 72hrs,OPHS 65/90 168hrs,OPHS 65/90 336hrs,OPHS 65/90 504hrs,OPHS 65/90 720hrs,OPHS 65/90 1008hrs,5N manual pull test
29,FVFHSF0000L0001JYP,incoming,OPHS 65/90 72hrs,OPHS 65/90 168hrs,OPHS 65/90 336hrs,OPHS 65/90 504hrs,OPHS 65/90 720hrs,OPHS 65/90 1008hrs,5N manual pull test
30,FVFHSF0000P0001JYP,incoming,OPHS 65/90 72hrs,OPHS 65/90 168hrs,OPHS 65/90 336hrs,OPHS 65/90 504hrs,OPHS 65/90 720hrs,OPHS 65/90 1008hrs,5N manual pull test
34,FVFHSF000190001JYP,incoming,OPHS 65/90 72hrs,OPHS 65/90 168hrs,OPHS 65/90 336hrs,OPHS 65/90 504hrs,OPHS 65/90 720hrs,OPHS 65/90 1008hrs,5N manual pull test
35,FVFHSF000150001JYP,incoming,OPHS 65/90 72hrs,OPHS 65/90 168hrs,OPHS 65/90 336hrs,OPHS 65/90 504hrs,OPHS 65/90 720hrs,OPHS 65/90 1008hrs,5N manual pull test
36,FVFHSF000130001JYP,incoming,OPHS 65/90 72hrs,OPHS 65/90 168hrs,OPHS 65/90 336hrs,OPHS 65/90 504hrs,OPHS 65/90 720hrs,OPHS 65/90 1008hrs,5N manual pull test
37,FVFHSF0000Z0001JYP,incoming,OPHS 65/90 72hrs,OPHS 65/90 168hrs,OPHS 65/90 336hrs,OPHS 65/90 504hrs,OPHS 65/90 720hrs,OPHS 65/90 1008hrs,5N manual pull test
41,FVFHSL0004N0001JYP,incoming,OPHS 65/90 72hrs,OPHS 65/90 168hrs,OPHS 65/90 336hrs,OPHS 65/90 504hrs,OPHS 65/90 720hrs,OPHS 65/90 1008hrs,5N manual pull test
42,FVFHSL0004K0001JYP,incoming,OPHS 65/90 72hrs,OPHS 65/90 168hrs,OPHS 65/90 336hrs,OPHS 65/90 504hrs,OPHS 65/90 720hrs,OPHS 65/90 1008hrs,5N manual pull test
43,FVFHSL0004L0001JYP,incoming,OPHS 65/90 72hrs,OPHS 65/90 168hrs,OPHS 65/90 336hrs,OPHS 65/90 504hrs,OPHS 65/90 720hrs,OPHS 65/90 1008hrs,5N manual pull test
71,FVFHSL0004J0001JYP,incoming,OPHS 65/90 72hrs,OPHS 65/90 168hrs,OPHS 65/90 336hrs,OPHS 65/90 504hrs,OPHS 65/90 720hrs,OPHS 65/90 1008hrs,5N manual pull test
72,FVFHSL0004E0001JYP,incoming,OPHS 65/90 72hrs,OPHS 65/90 168hrs,OPHS 65/90 336hrs,OPHS 65/90 504hrs,OPHS 65/90 720hrs,OPHS 65/90 1008hrs,5N manual pull test
73,FVFHSL000480001JYP,incoming,OPHS 65/90 72hrs,OPHS 65/90 168hrs,OPHS 65/90 336hrs,OPHS 65/90 504hrs,OPHS 65/90 720hrs,OPHS 65/90 1008hrs,5N manual pull test
103,FVFHSF0001B0001JYP,incoming,OPHS 65/90 72hrs,OPHS 65/90 168hrs,OPHS 65/90 336hrs,OPHS 65/90 504hrs,OPHS 65/90 720hrs,OPHS 65/90 1008hrs,5N manual pull test
