Unit_No,SN,CP0,CP1,CP2,CP3,CP4,CP5,CP6,CP7
9,FVFHSA000780001JYP,Y,N,N,N,N,N,N,N
10,FVFHSA000750001JYP,Y,N,N,N,N,N,N,N
11,FVFHSA0006Q0001JYP,Y,N,N,N,N,N,N,N
12,FVFHSA0006Y0001JYP,Y,N,N,N,N,N,N,N
13,FVFHSA0007B0001JYP,Y,N,N,N,N,N,N,N
22,FVFHSA000870001JYP,Y,N,N,N,N,N,N,N
23,FVFHSA000830001JYP,Y,N,N,N,N,N,N,N
24,FVFHSA0007J0001JYP,Y,N,N,N,N,N,N,N
25,FVFHSA0007H0001JYP,Y,N,N,N,N,N,N,N
26,FVFHSA0007Y0001JYP,Y,N,N,N,N,N,N,N
27,FVFHSF0000K0001JYP,Y,N,N,N,N,N,N,N
28,FVFHSF0000M0001JYP,Y,N,N,N,N,N,N,N
29,FVFHSF0000L0001JYP,Y,N,N,N,N,N,N,N
30,FVFHSF0000P0001JYP,Y,N,N,N,N,N,N,N
34,FVFHSF000190001JYP,Y,N,N,N,N,N,N,N
35,FVFHSF000150001JYP,Y,N,N,N,N,N,N,N
36,FVFHSF000130001JYP,Y,N,N,N,N,N,N,N
37,FVFHSF0000Z0001JYP,Y,N,N,N,N,N,N,N
41,FVFHSL0004N0001JYP,Y,N,N,N,N,N,N,N
42,FVFHSL0004K0001JYP,Y,N,N,N,N,N,N,N
43,FVFHSL0004L0001JYP,Y,N,N,N,N,N,N,N
71,FVFHSL0004J0001JYP,Y,N,N,N,N,N,N,N
72,FVFHSL0004E0001JYP,Y,N,N,N,N,N,N,N
73,FVFHSL000480001JYP,Y,N,N,N,N,N,N,N
103,FVFHSF0001B0001JYP,Y,N,N,N,N,N,N,N
104,FVFHSF0001X0001JYP,Y,N,N,N,N,N,N,N
123,FVFHSF000470001JYP,Y,N,N,N,N,N,N,N
124,FVFHSF000460001JYP,Y,N,N,N,N,N,N,N
235,FVFHSL0006E0001JYP,Y,N,N,N,N,N,N,N
236,FVFHSL000650001JYP,Y,N,N,N,N,N,N,N
237,FVFHSL0005T0001JYP,Y,N,N,N,N,N,N,N
238,FVFHSL0005Y0001JYP,Y,N,N,N,N,N,N,N
239,FVFHSL0005X0001JYP,Y,N,N,N,N,N,N,N
54,FVFHSL000570001JYP,Y,N,N,N,N,N,N,N
55,FVFHSL000200001JYP,Y,N,N,N,N,N,N,N
95,FVFHSL000410001JYP,Y,N,N,N,N,N,N,N
96,FVFHSL0004A0001JYP,Y,N,N,N,N,N,N,N
141,FVFHSF0003T0001JYP,Y,N,N,N,N,N,N,N
